adm1_tr,adm1_en,adm1,Shape_Leng,Shape_Area,adm0_en,adm0_tr,adm0
NEVŞEHİR,NEVSEHIR,TUR050,3.94806029597,0.568737848451,TURKEY,TÜRKİYE,TUR
NİĞDE,NIGDE,TUR051,4.33235892534,0.741179421209,TURKEY,TÜRKİYE,TUR
ORDU,ORDU,TUR052,4.85093714299,0.632854062098,TURKEY,TÜRKİYE,TUR
OSMANİYE,OSMANIYE,TUR080,3.2190616286,0.337347390429,TURKEY,TÜRKİYE,TUR
RİZE,RIZE,TUR053,3.29454057252,0.410796432946,TURKEY,TÜRKİYE,TUR
SAKARYA,SAKARYA,TUR054,4.04372019469,0.515158825169,TURKEY,TÜRKİYE,TUR
SAMSUN,SAMSUN,TUR055,7.11042329022,1.04729667765,TURKEY,TÜRKİYE,TUR
ŞANLIURFA,SANLIURFA,TUR063,7.24839375372,1.9545154252,TURKEY,TÜRKİYE,TUR
SİİRT,SIIRT,TUR056,4.01972859106,0.585703284095,TURKEY,TÜRKİYE,TUR
SİNOP,SINOP,TUR057,5.39784527368,0.617467757527,TURKEY,TÜRKİYE,TUR
ŞIRNAK,SIRNAK,TUR073,5.90100860011,0.721201016451,TURKEY,TÜRKİYE,TUR
SİVAS,SIVAS,TUR058,10.8201258523,2.95178184172,TURKEY,TÜRKİYE,TUR
TEKİRDAĞ,TEKIRDAG,TUR059,4.89989072512,0.663603722902,TURKEY,TÜRKİYE,TUR
TOKAT,TOKAT,TUR060,6.2794909933,1.06476302729,TURKEY,TÜRKİYE,TUR
TRABZON,TRABZON,TUR061,4.27740593192,0.495457854678,TURKEY,TÜRKİYE,TUR
TUNCELİ,TUNCELI,TUR062,5.40847189272,0.790614608424,TURKEY,TÜRKİYE,TUR
UŞAK,USAK,TUR064,3.86498805846,0.574221072218,TURKEY,TÜRKİYE,TUR
VAN,VAN,TUR065,8.36270778843,2.15974329588,TURKEY,TÜRKİYE,TUR
YALOVA,YALOVA,TUR077,2.05165215321,0.087016434133,TURKEY,TÜRKİYE,TUR
YOZGAT,YOZGAT,TUR066,6.38640996899,1.43674318905,TURKEY,TÜRKİYE,TUR
ZONGULDAK,ZONGULDAK,TUR067,3.27036586562,0.360483933928,TURKEY,TÜRKİYE,TUR
